w	v
31850	78927.2700000000
14227	161406.480000000
16064	205051.700000000
154140	623834
48600	124626.250000000
69736	153685.710000000
82527	130050
61286	180014
3650	168154.550000000
9899.77000000000	28235.2600000000
20815	262953.810000000
24583.5000000000	122956.680000000
32986.2000000000	95223.8800000000
33000	238564.910000000
38392	9051
23842	31521
49150	92379
33972.3600000000	251908.370000000
900	155051.920000000
28755	327417
16715	68912.4100000000
7568	265773.860000000
71363.9000000000	130500
14199	71626.1100000000
5333	14140.8700000000
173354.800000000	393538
30195	148502.570000000
82308	267889
14172	88552.4800000000
1580	119204.950000000
15895.8000000000	61964
60816	198234.110000000
26728	93344
24855	205427.730000000
22713	192887.930000000
17946	86110.9200000000
46145	90502.4800000000
24819	202688.260000000
22610	222719.780000000
86260.2000000000	226031.400000000
28147.6500000000	106270
10060	37689
100472	257556.210000000
21435	121063.090000000
44719.1000000000	216219
24638	92345
96916.1000000000	197133.100000000
17798	131243.580000000
2390	33708
5285.10000000000	9051.21000000000
47728.1000000000	75730
18717.2000000000	164657.160000000
16721	191458
36363.4000000000	78220.8000000000
13920	164966.210000000
15113	105892.370000000
15110.7000000000	272536.870000000
31687	13346.6700000000
61011	218109.130000000
1953	78997.1700000000
25314.8800000000	144494
6183.50000000000	55883.1700000000
79545.7810000000	156124.770000000
10777	66515.7400000000
35686.8000000000	108513.310000000
40952.0400000000	69858.3400000000
40294	102042.410000000
22643.5000000000	87922.6700000000
5409	219816.230000000
22477	182177.730000000
14376.3600000000	65316
40892	61686.2200000000
28513	118788.100000000
16646	157066
12078	28397
42625	80165.6200000000
8176.80000000000	126353
4258.90000000000	24927
11559	154944.140000000
21993.0700000000	250471.400000000
163191	225564
27774.4000000000	182087
5723	124231
5188	153784.150000000
17392	53625.0100000000
21508	115040
24390	93641.9000000000
16129.6000000000	37915.5100000000
25759.7000000000	309832.940000000
30298	41970.2600000000
17516.1110000000	29683.2100000000
10590	119444.820000000
6017	103447.480000000
5237	183023.810000000
24464	210782.090000000
107950	192678.970000000
12178	77533.5300000000
2478	281216.020000000
166768	332684
38910	66438.3600000000
65269	179471.970000000
84712	119551.440000000
49942.8570000000	144202.520000000
4445.60000000000	34466.6200000000
15360	30154.1600000000
3856	172451.360000000
94040	166570.510000000
36356	323578
4076.80000000000	66749.8200000000
11200	85200
21915.6000000000	384135.730000000
11000	170862.810000000
37800.7500000000	243510.230000000
44779.5000000000	136100
49467	116279.510000000
10300.7000000000	136271.870000000
32195	135648.230000000
4015	259183.400000000
25036	97443
7980	119335.560000000
9419.74000000000	144685
87739.2000000000	263426.320000000
3252.50000000000	41251.5600000000
34268	91586.6600000000
8922	71559.6800000000
31929	34266.8000000000
75345	87237
50355	213460
8746.78000000000	242595.420000000
66821	86157.2100000000
6871	109922.100000000
6465.70000000000	112431.710000000
15000	81614.1100000000
5865	70546.3900000000
6834	98361
35659.2000000000	146011
25047	169810.820000000
15884	57302
42710	91066.7200000000
18000	99737.6100000000
45680.8000000000	93132.3700000000
34257.6000000000	163993.930000000
96604.3200000000	174096
12543	44662.9700000000
81	10102.9700000000
10300	28216.8000000000
2571	127226.980000000
53201	427772
57797.6000000000	89088
27500	119505.880000000
26147.2000000000	20919.8000000000
9552.40000000000	42524.2100000000
24948	42689
43457.8200000000	203984
5900	120127.910000000
21176.4800000000	136899
1874	68705.8700000000
54434.2000000000	80505
4225	124587.960000000
9137	126500.430000000
1250	178444.080000000
9122.50000000000	85232
27500	128822.130000000
16984	252845.300000000
7175	220835.890000000
14837	23935.4600000000
85395.3000000000	138751
29500	27739.3800000000
1816	73491
14969	128454.250000000
8573.37000000000	111396.160000000
17430	87996.9300000000
35345.4400000000	56593
76763	166333
15802.1000000000	70480
59297	129394.230000000
29400	108903.960000000
7245	61576.8300000000
3779	117862
30934.5000000000	158685.060000000
57388	117871
33987.5000000000	240678
12758.3000000000	110211
41674	92937
24903	86042.3000000000
38277.6000000000	82275.9200000000
21000	20627.8800000000
14351.5000000000	17073.8500000000
20000	55571.4400000000
22523	178722.550000000
43121.7000000000	63309.6100000000
8937.50000000000	15786.6200000000
48929.5000000000	79271
66128	134938.360000000
1668.48000000000	59184.6400000000
46313	169515
7195	72567.9200000000
28460	103091.210000000
41028	261732.440000000
23110	127189.130000000
44072.3980000000	80560.2800000000
10976.1600000000	59651.5700000000
4870	143273.700000000
22695	98039
10898.8000000000	63852.7300000000
5271	202023.030000000
22000	159043.270000000
24535	125399.890000000
16974	41470.0800000000
37710	222287.390000000
9800	105678
7602	191539.250000000
9886.30300000000	258145.020000000
22400	266268.350000000
13317	8803.80000000000
31320	108713
31669	92745.8700000000
26958	10974.4000000000
50816	103953.910000000
22193	101209.870000000
59167	70812
57096	151770.940000000
51998	80711
461.553000000000	89919.6600000000
27072.3000000000	153805.090000000
14985	74437.4700000000
5766	103091.380000000
7922.68000000000	130980.550000000
49297	120514
12798.5000000000	3450.55000000000
20991.9000000000	17983.6800000000
17749.7400000000	3277
16805	98001.7700000000
36981	136163
11088	14429.5400000000
12360	138607
65089	190837.180000000
40479	77348.4900000000
16791	112126.980000000
103208	169912
16901.3400000000	80396
20451	161250
9460	42193.0600000000
23.3000000000000	729
15283.8500000000	192375.260000000
43608	18237.5500000000
90822.3000000000	205012
16940	22339
78235	166001.850000000
27847.2400000000	148676
61600.7800000000	239425
14052	87982.3300000000
9686.88000000000	55828.4800000000
16490	70379.8900000000
15874.6000000000	14727.4600000000
18400	256097.980000000
14664	209410.620000000
1477.60000000000	74053.8900000000
98240	178057.790000000
4665	168895.330000000
6840	34560
8757	98669.4600000000
20502	90735
11321	15990.5900000000
42852	151745.710000000
56735.3000000000	96141
3021	43.1100000000000
14613	20991.9500000000
1017	123587
4167	5751.05000000000
21613.0200000000	154131.380000000
93519.4400000000	189983.490000000
18505	13544.2800000000
66288	138983.640000000
1908.80000000000	176890.320000000
15401	118084.220000000
32580	40536
28300	118157.480000000
46385	18299.7800000000
34300	74164.0100000000
44407	28743.9200000000
25838	176599.740000000
15567	77049.4000000000
87222.8000000000	177352.250000000
10465	29745.8400000000
66322	193191.840000000
29600	89043.5100000000
45814	67382
11322	100073.480000000
11178.5000000000	107333.210000000
25362	136706.880000000
23787	155404
71385.3000000000	101718.820000000
20320	36913
28684	49307.1700000000
16526.7400000000	2990
11950	30044.2800000000
25182	61588.8200000000
25668.5000000000	145394.650000000
10105	95910.9900000000
39953.5300000000	299493.860000000
8347	216674.860000000
32331.6000000000	67641.1700000000
18555	128501.840000000
11722	56237.8200000000
61660.5000000000	102470
14694	105511.910000000
24375	52357
28021	63633.2500000000
30907.5900000000	74423.5900000000
34320	54099
7014.60000000000	75687.1800000000
79954	174470.640000000
15008	27425.1600000000
7344	174015.920000000
46200	86251.9100000000
29812	133395.430000000
3895.83000000000	36231
88960	123123.470000000
8800	113406
19125	47942.8900000000
23922	63693.5400000000
37230	95514.3500000000
43251	76773
5827.50000000000	12506.4700000000
30637	60678.9600000000
44884	159393.410000000
35799	50754.0900000000
64150	116776
20814	28426.7400000000
4238	36965.9500000000
21350	2653230.89000000
28336	2831828.93000000
39200	5080786
13250	1079745.27000000
22680	3202749
27367	230617.100000000
15600	2080000
21968	1099209
21600	3140662.15000000
7055	1289541
6180	800000
52865	6424402
4607	525251
4569.74000000000	630820.830000000
10279	1513563.09000000
63914.2000000000	95979
18000	2110474.35000000
10800	1938137
22356	1074854.66000000
46384	2322761.39000000
9275	691236
13200	2661627.15000000
58065.5700000000	9714631.09000000
5876	762011.670000000
17400	1312817.06000000
54172	3911904
10500	1143200.95000000
11066	1517627.58000000
18672	3564648.94000000
15000	2587020.04000000
8769.20000000000	269233.350000000
30000	2137761.84000000
9336	1022975.48000000
11782.8000000000	1373589.33000000
12880	1519229
14266	114237.850000000
24000	1179039
12414	827135.040000000
5280	832491.260000000
3950	640000
19992	2228580
10000	1809875.53000000
25000	4102283
44880	3492224
68090	4878899.85000000
20940	1122472.74000000
5280	812055.990000000
26490	2305539.03000000
8800	859784
17025	2206934
29659	4736710.95000000
6261	584247.460000000
14190	1473797.06000000
8486	1477042.38000000
9020	793367.730000000
3400	268990
38000	2394218.68000000
9266.40000000000	1278366.17000000
17598.4000000000	2474104.66000000
30000	4329429.25000000
17000	1343675
14736	1116700.20000000
15000	2768960.77000000
35000	816947.270000000
23380.4000000000	2200404.32000000
18750	1621468.08000000
39230	1687678
7000	619962.120000000
14800	778198
11236	1924055.46000000
14000	880288.810000000
21000	2500000
8500	763453.460000000
17162	1211896.55000000
14303	1536599.77000000
169997.800000000	509506
52887	3871078
16500	1905382.52000000
6050	197831
1920	298774.130000000
11900	1804705
45000	2056560
12540	1111086
8504	1429857
51802	8546088
10999.9900000000	1560507.87000000
20000	853400
18805	182175.240000000
16500	1608640
3926	767658.880000000
32486	4420969.83000000
27261	2925123.16000000
15588	1493417
27100	2167700.80000000
19200	2392316.19000000
14000	2132164
65276.4100000000	96605
31000	841596.380000000
16144.2000000000	164817
26682.9200000000	82998
14328	2739439
5207	845764.180000000
20000	1648569.06000000
17399	1862831.82000000
52326	4214632.90000000
41513	4808830
22000	2708093.11000000
15000	1644098.84000000
13023	83909.8300000000
23036	632979.280000000
35402	3954015
3250	393555.440000000
17025	2114889
11966.2000000000	1257055.63000000
12007.1000000000	1692110.88000000
4165	147869
13525.6000000000	1558845.01000000
15911	1675045.95000000
28125	1949493.15000000
14280	117419.060000000
14934	2268958.86000000
11602	714931.170000000
11690	1597169
17550.8000000000	1370113
17000	743446
21996	2524500
19798	2254532.07000000
7500	795964
385	61349.9200000000
23825	1910025.74000000
8343	1000000
14400	1791453.02000000
15576	97133.6100000000
42978	2333924.65000000
8300	1082341.91000000
17025	2080951
10200	1568348
26755	1870000.66000000
56916	5383745.06000000
16110	1017345.26000000
18000	1102343.11000000
8684	1536375
12433	2010254.90000000
5532	892393
19360	2907097
13620	1773252
22445	1102895
20872	185446
11900	1594402
21920	35532.8200000000
7293	1432368
17820	2525657
6512	414566.250000000
17606.2500000000	1775471.24000000
12216	685220
16882	1130304
21624	2495662
5250	660663.400000000
10500	1180346
13000	1439500
10583	1357034.83000000
18500	846034
13446.6000000000	1152258.66000000
28687	2185155.51000000
17082	3350038
6439.40000000000	1250830.74000000
6958	589867.630000000
8540	722712.840000000
7301	727403
6640	647830
23000	1001545
20158	3326394
5711	992458.490000000
3700	620375.730000000
10125	1020768.74000000
18396	3283496
6800	1340087.79000000
14500	1365853.23000000
37628	3400000
15183	975728.160000000
14004	1659540
17288	158741.070000000
29500	1474464
12700	852104.850000000
23674	1132420
30500	1020693.36000000
18750	2600000
27723	1906482.62000000
13137	898737.770000000
9085	1432915
34300	882025.590000000
3045	464138.520000000
7000	1181092
22000	162753.720000000
18453	1370471.01000000
13797	1079998.05000000
16220	1783771.54000000
13000	442920.400000000
11970	959218.570000000
11337	1474413.84000000
7200	378783.470000000
26675	2248117.78000000
12700	988493
25078	182075.640000000
35000	2334574.06000000
11000	1696334
6565	911557.100000000
27500	2699211
8900	1673341
7956	771335.700000000
4461	618510.050000000
8179.20000000000	1558916
5534	739317.850000000
20000	2000000
8140.23000000000	1436408.36000000
20000	1547009.33000000
21600	3338576.92000000
16500	2775636.75000000
8500	723224.010000000
5633	555810.040000000
46368	87381.6300000000
15616.8000000000	1456371.96000000
26322	2380000
10413	1888215.99000000
20568.9500000000	163640.240000000
146000	138303.820000000
27988	3441035.13000000
39275	1512487.29000000
19636	1023074.42000000
3948	652788
36470	1614889
10000	1662825.41000000
394260	115558.870000000
18384	2292190.03000000
10800	1133225
5864.30000000000	416400
22000	4201799.64000000
8500	941135.530000000
14400	1578176
21599	155181.560000000
8014	853560
5780	521853
14850	2624525
22284	2678718
36423	1514160
19120	2236156.58000000
22896	2690414
50000	3459647.94000000
10000	589632.330000000
7286	302348
18532.5000000000	1390035
13798	2364644
9335	1711728
14922	2315832
12000	1034808
9020	793367.730000000
29390	4149678.50000000
34811.2000000000	5039280.85000000
3142	561654
7523	910332
12510	1446648
9572	359650.200000000
7987	1415717
45454	1819729
21505	3242867
5414	896864.230000000
15608	1200000
6240	1082506
2642	521663
14014.8000000000	1248993.04000000
11652	801519.330000000
5591	799353.550000000
12880	1752752
77906	219738.740000000
15631	2367013
12423.5000000000	1419909.28000000
7500	883098
63684	257510
13000	2563198.93000000
11989	661865
151682.500000000	215181
4800	565460
10215	1261642
10458	766101
12200	754246.770000000
6816.32000000000	513815.610000000
18200	2597833
13685	2399584.77000000
5500	698161
6392	501640
10000	861500
8000	947439
15307	2552494
15000	637019
8500	674634
23810	718937.770000000
7996	361837.900000000
18596	1897184
8625	1132934
11480	1657141
23749	184831.020000000
12204	536286
12000	1288304
17600	148798.570000000
35366	2541164
17582	617484.560000000
14295.5100000000	2255425.25000000
4358	200000
11150	1144575.46000000
9449	558893.290000000
11127	974000
10625	1008532
8880	1555654.72000000
8100	1049933
11520	927520.270000000
12450	1292290
9612	920883
8200	1340157.48000000
15620	1781404
58669.1400000000	98162
12560	1099550
8706	836771.450000000
8000	512298.280000000
6751	217371.780000000
16650	1659113.83000000
9107	976350.450000000
8326	1028000
6359.40000000000	420524.820000000
2855.70000000000	449329.530000000
12804	485985
23500	1157306
7032	979481.780000000
17500	1007245.24000000
6201	536396.790000000
7450	1167916.59000000
4000	504568.150000000
18471	1716997
14400	2226083.78000000
38676	159858.190000000
6127.20000000000	1174674
16344	1564484
4398.30000000000	635274.200000000
4500	736565.440000000
13020	1790610
7230	1054750.10000000
15928.1000000000	78148.4800000000
18824	2843008
17340	2052141
10150	1158989
6250	1157275
29270	743848.540000000
16226	1552456.16000000
20341	3321437
15000	1824438
14371	204970.830000000
9815	1077385.67000000
18526.4780000000	2318735.59000000
18331	2196535.52000000
14931	1371221.15000000
11900	1770703
6000	569716.240000000
8032.50000000000	1261209.82000000
4113	419803
17000	1343675
13431	434710.260000000
11500	1368347
9361.60000000000	1249769.92000000
10950	1076231
14500	1000551
5261	230675.950000000
9500	419520.100000000
7010	656898.410000000
6108.80000000000	1063256.49000000
9500	1301703
7500	1504398.60000000
9836.10000000000	505418.760000000
11005	1247968.80000000
7821	379357
28592	2666800
11231	811321
20000	1839679.90000000
25758	2381229.58000000
22121	1742250
7667	587466.640000000
24147	1772656
93254	95870.3500000000
15000	703539.120000000
22635	1455215
19955	1689775.01000000
8630	357952.980000000
13113	809401.870000000
13951.5000000000	28267.8400000000
9034	257462.200000000
21500	55209
4168	810444
18407	1765440
7000	806207
15000	1057651.29000000
9926	1209781
25395	1884687
3768	260880
32000	880659.850000000
3890	354581
16940	1204325
11535	90498
8400	1150770.46000000
38000	892194.540000000
7380	829839.320000000
5849	690910.380000000
15000	454938
7540	1144470
31533	1313749
6225	396196.510000000
20000	1648569.06000000
32308	121980.230000000
6800	1046798
10000	685212
16000	1601537
12750	2342981
22904	2725848
36344	722705.360000000
8360	319867
16520	22882
10200	1344777
5452	404394.100000000
10037	1120836.89000000
20167	538612.480000000
10150	1412283
34086.9400000000	1086450.61000000
7700	1548239.33000000
22575	1957880
13734	1870673
10552.5000000000	72499.4200000000
18000	1238370.16000000
24190	164722.540000000
2494	107227.140000000
13500	597431
11981	1555654.72000000
68357.7100000000	104781
9120.40000000000	1102542.11000000
31054.3000000000	68924.9500000000
9170.70000000000	88172
25000	1114194
6164	234416
4017	358069
16422	1294545
3100	483915.270000000
13574	2514480.40000000
20085	1460622.21000000
5000	443089.050000000
47382	203713
13962	1225000
4309	869803.270000000
9890	1641254.26000000
7019	870385.550000000
24693	269031.100000000
4500	899448.160000000
6532.90000000000	497976.500000000
10000	967233.820000000
34293	2421403.82000000
5480	745288.130000000
3900	424466.230000000
9036	1815821
16125	1293690.47000000
6161.63000000000	1153000
10590	306412.860000000
1922	159136.640000000
11513	1272858.19000000
12736	703635
7950	603992.310000000
17500	1007245.24000000
11100	2124972.22000000
14490	1327589
20000	1432330.62000000
8361.50000000000	168789.040000000
1192	195944.410000000
14400	905595.420000000
5982.17100000000	1155670.67000000
14445	958459
25500	1034719.80000000
12001.7760000000	191536.520000000
4480	660000
13620	1648919
39914	226042
9130	491984.280000000
9000	87716.6400000000
10000	282585
16239	2374794.43000000
16578	115398.550000000
5391	612494
12500	1026891.62000000
12435	399702.480000000
17957	1280361.07000000
18288	142764.180000000
20402.5510000000	52440.7800000000
8280	892429.040000000
5896	684656.580000000
13900	1163419.22000000
10250	805190
15000	1633201.44000000
23560	890169.120000000
9300	188944.670000000
12169	1170021.13000000
12390	1667089
9022	1391011.27000000
10847	493187.340000000
2621	526369
24710	83538.9000000000
11000	311043
26900	2412940.12000000
30100	46712.5700000000
18900	30618
19105	1218029.05000000
3552	543587.830000000
13500	1254593
14103	348140.750000000
3600	292665.690000000
13389	572289.210000000
6810	828157
16800	356316.870000000
31960.2980000000	75107
9526	749600.770000000
15620	1697648
16073.5000000000	1081011
4774.80000000000	625253.450000000
17900	1524239
11000	426677.230000000
2176.20000000000	421139.790000000
10872.4000000000	128817.430000000
44440	1738730
12500	279858
16825	249719
5328	517433.890000000
17425	1159613.28000000
6800	869365
9496.20000000000	888047
3044	613062
7810	850486
5600	430102
26255	2641550
18290	178655
9618.75000000000	632912
18071	1613875.34000000
8500	426593.570000000
5800	929245
3412.50000000000	464910.600000000
10096	881098.240000000
11850	1074946
17554	558970
15241	551288
13450	439851.580000000
8290	410073.110000000
13340	990185.910000000
7568	858849.150000000
27418.6000000000	172871
18500	513126.370000000
6400	360000
1442	158687
5192	634648
14560	493467.660000000
5062	1005741
3880	348035
119680	472470.290000000
15000	1693919.98000000
10360	203268.740000000
5160	234425.490000000
3396.90000000000	621758.960000000
4200	155466.100000000
5041.04000000000	938719.850000000
3054	411114.440000000
8694.58000000000	172196
8372.50000000000	107838.330000000
34083.3000000000	153409.540000000
22900	517685.350000000
4628.40000000000	404395.560000000
3110	495272.020000000
4289	177253.340000000
17989	1459626
6710	367410.780000000
35911.8000000000	109008.370000000
4224	265816.010000000
2849.20000000000	464030.610000000
61618	25836.1900000000
6600	165601.240000000
12311	676359.620000000
16683	1351640.61000000
3500	20921
6537	757878.300000000
6800	1055000
978.300000000000	158679.340000000
3802	223035.540000000
3752	357212.090000000
5253	394230
3000	136517.830000000
4568	468682.500000000
29652.3000000000	89791
6131	306402.730000000
7050	474372
29913.6000000000	157513.050000000
4050.10600000000	67812
22254	137960.020000000
4300	413621.770000000
3913	593675.060000000
7297	737520
8554.38000000000	124453.810000000
4220.40000000000	62867.8100000000
5187.50000000000	321712.190000000
19655.6500000000	150198.520000000
9928	916045.820000000
8106	29280
18000	382387.010000000
16448	29383.6400000000
5758	1039134.78000000
30360	38149.1700000000
19970	102947.930000000
28000	610912.170000000
29270	984307.010000000
1800	336725.920000000
14099.2000000000	19707.4400000000
7012	630972.780000000
14025.6000000000	1033080
2550	173565.970000000
7086	293792.660000000
1317	138668
3285	425754.970000000
12375	1329755.75000000
4105	271785.860000000
10798	160307.500000000
3256	228453.640000000
3091	464338.050000000
27484	67423
34830	134865.940000000
6135	896068.590000000
17388	33557.3300000000
6240	997530
45315	192998.020000000
6980	70409.5500000000
6800	558974
5802.60000000000	38717.2900000000
13216	91525.9900000000
3012	536451
67134	147805.420000000
4306	149057.170000000
13933.1000000000	790203.870000000
29063	71720.3500000000
18297	103326
6851.79200000000	102775.230000000
11845	467532.470000000
7776.60000000000	406367.780000000
28836	70312.1000000000
42792	101677
15000	111277.540000000
7800	895187
15132.5000000000	37255.0400000000
23010	127001.900000000
17892	72820.2200000000
9200	489094.830000000
4738	752213.370000000
16566.5000000000	51983.6100000000
49038	145291.350000000
20527	235761.770000000
6074	252424
18843	26051.7000000000
4642	621151.910000000
5652	416108
11400	722577
46440	83141.8400000000
4730	227682
11329	644108
25988	180971.590000000
23625	110796.670000000
25344	39774
6650	399325.090000000
4200	82816.0300000000
31126	155347.550000000
11012	35155.8400000000
4608	879106
140739	275542
6467	517204.120000000
45459	255056.900000000
3900	386878
33883	53662.1200000000
50470	207322.940000000
6187	332055
3584	380591.780000000
14187	161388.080000000
10800	39697.8000000000
5619.30000000000	27660.0200000000
23549	59078.0400000000
10921	238818.630000000
23329	178119.220000000
4150	157636.830000000
14045	17241
2640	10509
5495	575923.730000000
28274	44947.0600000000
17558	62558
20380.5000000000	77589.0300000000
45764	65495.0100000000
41510.3500000000	64420.4500000000
12000	264536.480000000
13870.5000000000	79271.5100000000
14524	122897.860000000
29588	58652.1100000000
25790	96157.4500000000
35587	77147
5250	564875.170000000
22097.3400000000	110676
13757.4000000000	56903
4684	93996
5625	62160
5900	36941
4539	138284.250000000
9781	195479.160000000
23759	260961.240000000
15625	142829.430000000
8495	32365.2400000000
3801.60000000000	55582
2889.15000000000	16601
9087	32444
