%DECLARANT	QUANTITY_TON	VALUE_1000EURO	DATE
010	0.5	8.76	01/09/2003
010	1	17.1	01/10/2003
010	0.3	3.93	01/11/2003
010	2	29.13	01/12/2003
011	49	454.94	01/01/2003
011	53.7	442.87	01/02/2003
011	50.5	438.3	01/03/2003
011	75.8	696.01	01/04/2003
011	100.3	840.55	01/05/2003
011	108.1	772.15	01/06/2003
011	128.7	906.16	01/07/2003
011	89.8	692.97	01/08/2003
011	106.6	899.49	01/09/2003
011	64.1	441.93	01/10/2003
011	21.6	146.27	01/11/2003
011	196.8	1186.08	01/12/2003
017	130.5	1793.91	01/01/2003
017	101.7	1432.61	01/02/2003
017	84.9	1405.19	01/03/2003
017	78.6	1158.28	01/04/2003
017	112.4	1350.2	01/05/2003
017	138.8	1617.85	01/06/2003
017	105.7	1389.99	01/07/2003
017	107.6	1483.97	01/08/2003
017	81.2	1225.39	01/09/2003
017	77.3	1078.02	01/10/2003
017	74.1	932.37	01/11/2003
017	275.9	3621.31	01/12/2003
030	7.1	103.91	01/01/2003
030	9.6	150.65	01/02/2003
030	10	174.04	01/03/2003
030	6.8	111.83	01/04/2003
030	9.6	129.45	01/05/2003
030	9.3	118.09	01/06/2003
030	6.8	100.21	01/07/2003
030	8.8	135.21	01/08/2003
030	14	232.62	01/09/2003
030	9.3	149.07	01/10/2003
030	9.4	133.71	01/11/2003
030	63	880.1	01/12/2003
032	0.5	8.1	01/01/2003
032	0.6	11.67	01/02/2003
032	0.6	11.49	01/03/2003
032	0.8	14.88	01/04/2003
032	0.5	8.98	01/05/2003
032	0.5	8.25	01/06/2003
032	0.7	12.62	01/07/2003
032	0.5	9.48	01/08/2003
032	0.9	17.18	01/09/2003
032	0.5	10.52	01/10/2003
032	1	16.34	01/11/2003
032	1.3	22.22	01/12/2003
038	0.9	16.2	01/01/2003
038	1.6	29.7	01/02/2003
038	1.7	33.82	01/03/2003
038	0.3	5.1	01/04/2003
038	0.4	6.1	01/05/2003
038	1	15.33	01/06/2003
038	0.8	12.96	01/07/2003
038	0.6	12.17	01/08/2003
038	0.6	10.63	01/09/2003
038	1	15.55	01/10/2003
038	0.8	11.61	01/11/2003
038	1.3	19.84	01/12/2003
