%DECLARANT	QUANTITY_TON	VALUE_1000EURO	DATE
038	0.7	10.59	01/02/2004
038	0.8	12.82	01/03/2004
038	0.5	6.99	01/04/2004
038	0.9	12.35	01/05/2004
038	0.8	10.95	01/06/2004
038	0.3	5.14	01/07/2004
038	0.3	4.2	01/08/2004
038	0.6	9.85	01/09/2004
038	0.9	15.04	01/10/2004
038	0.8	13.26	01/11/2004
038	1.8	29.15	01/12/2004
060	0	0.77	01/07/2004
060	0	0.98	01/09/2004
060	0.3	4.75	01/10/2004
060	0.1	1.51	01/11/2004
060	0.1	1.54	01/12/2004
