1	2	2	9.1	11.6	31.09	5.099	246.4	55	284	88.25	1.223
3	2	2	8.3	10	30.13	3.726	102.5	75.88	177.6	50.23	1.199
3	2	3	7.3	10.5	11.09	1.374	92.38	48.63	66.75	3.3	0.8751
1	2	2	7.9	9.8	194.8	6.513	0.6599	23	173.8	15.3	1.81
4	2	2	8	11.9	130.7	6.54	196	75	84	4.5	1.36
2	2	2	8	9.2	39	4.86	120	187	213	2	0.1761
4	2	2	8.1	11.7	35.66	5.13	46.5	49	88.5	2.5	0.8325
1	2	2	7.9	11.2	49.9	9.773	505	67.5	143.8	5.45	1.196
2	2	3	7.8	9.5	8.3	1.67	34	16.8	35.2	1	0.7324
1	2	1	8	4.5	79.08	8.984	920	70	200.2	19.4	0.2553
4	2	1	7.8	6.5	64.09	7.74	0.16	47.5	276	8.1	1.26
1	2	3	8.47	9	46.17	2.102	84.67	48	116.2	7.3	0.07918
2	2	3	8.4	4.9	47	0.536	91.83	109	188.7	32	0
4	2	3	8.87	11	41.16	2.273	54.75	39	72.7	22.7	0.4314
3	2	3	7.7	4.4	53	2.31	90	22.2	116.2	16	1.507
4	2	3	7.3	11.8	44.2	45.65	0	44	34	53.1	1.89
4	2	2	7.8	10.53	100.8	5.41	486.5	24	58.37	27.5	0.6532
1	3	3	7.3	9.9	16	4.82	101.7	14.67	85	2	1.25
4	3	3	7.4	10.68	22.35	5.414	244.6	66.4	171.3	3.8	1.624
1	3	1	8.56	8.7	43.97	4.053	643	221.9	246.7	14.7	0.6532
4	3	1	8.06	8.3	38.9	3.678	627.3	205.6	219.9	6.209	1.72
1	3	2	8.24	6.1	95.37	3.561	0	236.4	272.2	20.58	1.236
3	3	2	7.91	6.2	151.8	3.923	0.66	346.2	388.2	5.083	0.7709
1	3	2	8.21	9.3	104.8	3.908	124.4	82.22	167.9	5.609	1.627
2	3	2	8.6	10.6	208.4	4.459	197.9	87.33	194.1	27.62	1.061
3	3	3	8.4	10.29	5.326	0.996	53.85	7.667	14.35	0.8	0.2788
3	3	3	8.1	10.2	7.613	0.699	32.5	26.63	52.88	2	0.7709
1	3	1	8.7	10.8	39.11	6.225	161.8	104.7	228.4	46.08	0.6628
1	3	1	8.7	11.7	22.45	3.765	88.18	41.3	85.4	17.49	0.415
4	3	1	8.55	11	22.32	3.14	82.1	45.9	101.5	18.33	0.4914
4	3	2	8.7	11.4	15.54	2.323	103	34.5	81.56	5.62	1.502
1	3	2	8.4	10.5	12.18	1.519	65.45	19.73	50.45	8.155	1.22
4	3	2	8.58	11.1	23.82	3.617	72.6	51.11	91.11	22.9	0.7404
2	3	2	8.3	10.6	14.32	3.2	125.3	35.33	75.9	4.667	1.013
