"countryname" "country" "low" "medium" "high" "mvapc" "countrycode" "countrygroup" "groupcode" "hdi_score" "life_exp" "exp_school" "mean_school"
"Bulgaria" "100" 0.369252520285223 0.304462748955004 0.326284730759774 1112 "BGR" "Emerging Industrial Economies" "EIE" 0.816 75.05 14.41442 11.36009
"Cabo Verde" "132" 0.751816284869852 0.120345680249889 0.0725370442400991 226 "CPV" "Other Developing Economies" "DEVOT" 0.665 72.98 12.7042 6.287719287
"Canada" "124" 0.360023782747304 0.265270062032076 0.374706163000234 4330 "CAN" "Industrialized Economies" "IND" 0.929 82.43 16.15789 13.36610479
"Chile" "152" 0.56205100668349 0.205193067332471 0.196257706303001 1589 "CHL" "Industrialized Economies" "IND" 0.851 80.18 16.44755 10.58295
"China" "156" 0.285309275092197 0.300178039689152 0.414512685196034 2853 "CHN" "Emerging Industrial Economies" "EIE" 0.761 76.91 13.98429 8.06
"China, Hong Kong SAR" "344" 0.544860266620993 0.0818703434101225 0.373240843824042 471 "HKG" "Industrialized Economies" "IND" 0.949 84.86 16.92947 12.27996
"Colombia" "170" 0.515057574814064 0.245620730181013 0.239321695004923 758 "COL" "Emerging Industrial Economies" "EIE" 0.767 77.29 14.39861 8.46873
"Costa Rica" "188" 0.738970656265545 0.117384933824455 0.143644403121304 1393 "CRI" "Emerging Industrial Economies" "EIE" 0.81 80.28 15.65154 8.74194
"Croatia" "191" 0.400929310430189 0.229639643936991 0.27793909128518 1682 "HRV" "Emerging Industrial Economies" "EIE" 0.851 78.49 15.22672 11.44932
"Cyprus" "196" 0.470908939384695 0.248110375781856 0.28098068483345 939 "CYP" "Emerging Industrial Economies" "EIE" 0.887 80.98 15.16887 12.17123
"Czechia" "203" 0.196232853340613 0.274303328101185 0.522204781728429 5027 "CZE" "Industrialized Economies" "IND" 0.9 79.38 16.78511 12.72238228
"Denmark" "208" 0.257179323548181 0.139995292644636 0.304648392098437 8181 "DNK" "Industrialized Economies" "IND" 0.94 80.9 18.89342 12.61380326
"Ecuador" "218" 0.739630884893598 0.092483895596907 0.167885219509495 850 "ECU" "Other Developing Economies" "DEVOT" 0.759 77.01 14.6008 8.907169486
"Egypt" "818" 0.360190028764799 0.412472385604151 0.22733758563105 587 "EGY" "Emerging Industrial Economies" "EIE" 0.707 71.99 13.32624 7.434
"Estonia" "233" 0.452304457036042 0.245545884689526 0.302149658274432 2882 "EST" "Industrialized Economies" "IND" 0.892 78.75 15.989 13.14306146
"Fiji" "242" 0.79748787191921 0.123797803590912 0.078714324489878 620 "FJI" "Other Developing Economies" "DEVOT" 0.743 67.44 14.42733 10.90163
"Finland" "246" 0.29606665036504 0.204803157857966 0.409906731407413 7262 "FIN" "Industrialized Economies" "IND" 0.938 81.91 19.39712 12.82413
"France" "250" 0.283485066754206 0.19275655510688 0.523758776528781 4038 "FRA" "Industrialized Economies" "IND" 0.901 82.66 15.64217 11.4795
"Georgia" "268" 0.51784519124762 0.357783180813638 0.124321399218074 371 "GEO" "Other Developing Economies" "DEVOT" 0.812 73.77 15.27506 13.13296
"Germany" "276" 0.178075067468547 0.209425740878881 0.612499039850238 8549 "DEU" "Industrialized Economies" "IND" 0.947 81.33 16.97719 14.15168
"Greece" "300" 0.424472651510714 0.358111669860183 0.217424045919691 1649 "GRC" "Emerging Industrial Economies" "EIE" 0.888 82.24 17.90792 10.55207
"Hungary" "348" 0.198841110094541 0.268176273254041 0.532974992375724 2871 "HUN" "Industrialized Economies" "IND" 0.854 76.88 15.20418 11.96329
"Iceland" "352" 0.63365195254335 0.169604688025361 0.196791392478025 5485 "ISL" "Industrialized Economies" "IND" 0.949 82.99 19.08309 12.77278684
"India" "356" 0.259538699423519 0.285900410061789 0.454560861659962 323 "IND" "Emerging Industrial Economies" "EIE" 0.645 69.66 12.16229 6.5
"Indonesia" "360" 0.468136926123595 0.205995047569399 0.325868026307006 787 "IDN" "Emerging Industrial Economies" "EIE" 0.718 71.72 13.60698 8.16668
"Iran (Islamic Republic of)" "364" 0.2016947781512 0.413994251768691 0.384310969865097 698 "IRN" "Emerging Industrial Economies" "EIE" 0.783 76.68 14.81373 10.34749
"Iraq" "368" 0.227773546483546 0.680485656390307 0.091740797126147 110 "IRQ" "Other Developing Economies" "DEVOT" 0.674 70.6 11.27 7.316
"Ireland" "372" 0.0640715540463531 0.0273963061526132 0.00966518741508475 24373 "IRL" "Industrialized Economies" "IND" 0.955 82.31 18.70529 12.6663305
"Israel" "376" 0.226586879715279 0.304397866392319 0.469017764098878 4598 "ISR" "Industrialized Economies" "IND" 0.919 82.97 16.16283 13.0348541
"Italy" "380" 0.316050556130223 0.255049297902581 0.42889894689384 4690 "ITA" "Industrialized Economies" "IND" 0.892 83.51 16.0889 10.37955
"Japan" "392" 0.224532625171757 0.214829114357464 0.56063824051762 7820 "JPN" "Industrialized Economies" "IND" 0.919 84.63 15.23057 12.85
"Jordan" "400" 0.5005163987808 0.256967424163528 0.242516177055673 737 "JOR" "Emerging Industrial Economies" "EIE" 0.729 74.53 11.3787006 10.518
"Kazakhstan" "398" 0.246222195108029 0.584646488581186 0.169131316310785 1220 "KAZ" "Emerging Industrial Economies" "EIE" 0.825 73.6 15.61293 11.8949
"Kenya" "404" 0.754439828435227 0.0925394513839659 0.147038583956699 127 "KEN" "Other Developing Economies" "DEVOT" 0.601 66.7 11.33941359 6.564
"Kuwait" "414" 0.161118000879334 0.51967780824651 0.319204190874157 2256 "KWT" "Industrialized Economies" "IND" 0.806 75.49 14.24582 7.275667996
"Kyrgyzstan" "417" 0.193705737349736 0.783903699647332 0.0223905630029321 188 "KGZ" "Other Developing Economies" "DEVOT" 0.697 71.45 12.96756 11.10481377
"Latvia" "428" 0.526643048150563 0.209486446624575 0.160356569312794 1785 "LVA" "Industrialized Economies" "IND" 0.866 75.29 16.16769 13.03085
"Lithuania" "440" 0.472201566120153 0.163852275270145 0.292550535952041 3039 "LTU" "Industrialized Economies" "IND" 0.882 75.93 16.63731 13.07721
"Luxembourg" "442" 0.13253051155544 0.153564009348221 0.189755907556479 5030 "LUX" "Industrialized Economies" "IND" 0.916 82.25 14.25582 12.31145
"Malaysia" "458" 0.212414058458578 0.3544104934297 0.433175761438219 2535 "MYS" "Industrialized Economies" "IND" 0.81 76.16 13.67864 10.37283
"Malta" "470" 0.40321960725653 0.197377278053402 0.208454871066125 2199 "MLT" "Industrialized Economies" "IND" 0.895 82.53 16.10407 11.32613
"Mauritius" "480" 0.81190119582531 0.141288067898153 0.0467869624135226 1239 "MUS" "Emerging Industrial Economies" "EIE" 0.804 74.99 15.0566 9.54
"Mexico" "484" 0.29638727793512 0.247651783196345 0.455960938868535 1685 "MEX" "Emerging Industrial Economies" "EIE" 0.779 75.05 14.80978 8.75461
"Mongolia" "496" 0.803330419528221 0.15757788759691 0.0390916928722522 425 "MNG" "Other Developing Economies" "DEVOT" 0.737 69.87 14.20655 10.2512725
"Montenegro" "499" 0.547817212609452 0.303600416016225 0.148582371374323 299 "MNE" "Other Developing Economies" "DEVOT" 0.829 76.88 14.99968 11.58926489
"Morocco" "504" 0.407538088867158 0.180135472464112 0.412326425171524 512 "MAR" "Other Developing Economies" "DEVOT" 0.686 76.68 13.72117 5.648
"Nepal" "524" 0.554605004423669 0.340241845688458 0.105153149887873 48 "NPL" "Least Developed Countries" "LDC" 0.602 70.78 12.75613 5.014
"Netherlands" "528" 0.279826259931551 0.208267488496235 0.511907541593512 5489 "NLD" "Industrialized Economies" "IND" 0.944 82.28 18.48513 12.4148
"New Zealand" "554" 0.511012637452815 0.272837682586575 0.216149679960611 4648 "NZL" "Industrialized Economies" "IND" 0.931 82.29 18.83857 12.78207732
"Nicaragua" "558" 0.809411689302943 0.0579468388831841 0.130640014212009 297 "NIC" "Other Developing Economies" "DEVOT" 0.66 74.49 12.31796 6.912
"North Macedonia" "807" 0.489239853337783 0.178970028611185 0.331789977933799 594 "MKD" "Emerging Industrial Economies" "EIE" 0.774 75.8 13.5852 9.812715
"Norway" "578" 0.327029164279322 0.216267407887946 0.409668391868664 4932 "NOR" "Industrialized Economies" "IND" 0.957 82.4 18.06615 12.89775
"Oman" "512" 0.0949132171274282 0.454864893604185 0.450221889110254 1662 "OMN" "Emerging Industrial Economies" "EIE" 0.813 77.86 14.18214 9.731845912
"Peru" "604" 0.516709222755592 0.34192625880911 0.141364518435298 841 "PER" "Emerging Industrial Economies" "EIE" 0.777 76.74 14.99071 9.69633
"Philippines" "608" 0.459756700832567 0.278190255928168 0.26205304208512 686 "PHL" "Emerging Industrial Economies" "EIE" 0.718 71.23 13.14836 9.393091398
"Poland" "616" 0.336826650819729 0.215807319886741 0.2695762109507 2639 "POL" "Industrialized Economies" "IND" 0.88 78.73 16.30117063 12.47232
"Portugal" "620" 0.444017363361177 0.284657925806251 0.271338026293597 2652 "PRT" "Industrialized Economies" "IND" 0.864 82.05 16.53579 9.26347
"Qatar" "634" 0.079924037978843 0.28539071199934 0.634685250021817 5375 "QAT" "Industrialized Economies" "IND" 0.848 80.23 12.03595 9.73144
"Republic of Korea" "410" 0.137685293803874 0.226237694475247 0.63607701172088 8453 "KOR" "Industrialized Economies" "IND" 0.916 83.03 16.48165 12.21376462
"Republic of Moldova" "498" 0.58943942292537 0.182168910964662 0.23002631973221 266 "MDA" "Other Developing Economies" "DEVOT" 0.75 71.9 11.53408 11.70817
"Romania" "642" 0.309741740865376 0.232090726605241 0.43207106863368 2065 "ROU" "Emerging Industrial Economies" "EIE" 0.828 76.05 14.25988 11.0708
"Russian Federation" "643" 0.217868367636221 0.469761830286607 0.312369798277049 1255 "RUS" "Industrialized Economies" "IND" 0.824 72.58 15.02735 12.17244258
"Rwanda" "646" 0.802842853382469 0.122400631745196 0.0747565148723348 67 "RWA" "Least Developed Countries" "LDC" 0.543 69.02 11.18666 4.417150539
"Saudi Arabia" "682" 0.227949262558254 0.405046161833525 0.367004575608222 2544 "SAU" "Emerging Industrial Economies" "EIE" 0.854 75.13 16.13575 10.22517
"Senegal" "686" 0.46703498641746 0.265576185298226 0.267388828282776 227 "SEN" "Least Developed Countries" "LDC" 0.512 67.94 8.58486 3.183085
"Serbia" "688" 0.399831628934218 0.349523761124656 0.250644609942473 730 "SRB" "Emerging Industrial Economies" "EIE" 0.806 76 14.73747 11.19411
"Singapore" "702" 0.132861580485288 0.0465853839941109 0.820553046323194 11593 "SGP" "Industrialized Economies" "IND" 0.938 83.62 16.44088 11.62461
"Slovakia" "703" 0.177335885193911 0.284203107834534 0.515984827023927 3498 "SVK" "Industrialized Economies" "IND" 0.86 77.54 14.48704 12.69315651
"Slovenia" "705" 0.194834244083922 0.304941248349826 0.365525819086376 5198 "SVN" "Industrialized Economies" "IND" 0.917 81.32 17.57206 12.65874
"South Africa" "710" 0.412901849867966 0.342817811948329 0.244280338173674 657 "ZAF" "Emerging Industrial Economies" "EIE" 0.709 64.13 13.7912 10.24064634
"Spain" "724" 0.320410942086407 0.240640440821246 0.390063345732494 3167 "ESP" "Industrialized Economies" "IND" 0.904 83.57 17.61613 10.25178
"Sri Lanka" "144" 0.772807449216992 0.136977225039908 0.0902153257437259 696 "LKA" "Emerging Industrial Economies" "EIE" 0.782 76.98 14.11107 10.63257
"State of Palestine" "275" 0.529558995529305 0.398294972506331 0.0721460319643645 352 "PSE" "Other Developing Economies" "DEVOT" 0.708 74.05 13.4094 9.16551
"Sweden" "752" 0.238391093794233 0.23304247902348 0.395457446434285 7331 "SWE" "Industrialized Economies" "IND" 0.945 82.8 19.48234 12.54847
"Switzerland" "756" 0.181302720266581 0.135449837534125 0.332953164388057 16877 "CHE" "Industrialized Economies" "IND" 0.955 83.78 16.32844 13.38081241
"Tajikistan" "762" 0.416840169329483 0.381873005793164 0.0282279271629172 221 "TJK" "Other Developing Economies" "DEVOT" 0.668 71.1 11.6618 10.7337
"Tunisia" "788" 0.489596049750575 0.163528347506859 0.216784057686084 574 "TUN" "Emerging Industrial Economies" "EIE" 0.74 76.7 15.12561 7.22022
"Turkey" "792" 0.372707727757199 0.259983553139155 0.358336893667996 1942 "TUR" "Emerging Industrial Economies" "EIE" 0.82 77.69 16.60266555 8.10682
"Turkmenistan" "795" 0.688859573139564 0.251754608813294 0.0593858180471426 3503 "TKM" "Other Developing Economies" "DEVOT" 0.715 68.19 11.1894 10.27379667
"Ukraine" "804" 0.399598154129823 0.273598595709431 0.326803250160747 273 "UKR" "Emerging Industrial Economies" "EIE" 0.779 72.07 15.07384705 11.39749842
"United Arab Emirates" "784" 0.196632461181562 0.411373403593393 0.391994135217699 3721 "ARE" "Industrialized Economies" "IND" 0.89 77.97 14.3441 12.11122
"United Kingdom" "826" 0.317251995573242 0.219054486802138 0.463695872283313 4146 "GBR" "Industrialized Economies" "IND" 0.932 81.32 17.49843 13.24287
"United Republic of Tanzania" "834" 0.738702760423838 0.191714497260722 0.0695827423154397 90 "TZA" "Least Developed Countries" "LDC" 0.529 65.46 8.0976 6.122
"United States of America" "840" 0.297593282457214 0.242245777071568 0.460160941250721 6990 "USA" "Industrialized Economies" "IND" 0.926 78.86 16.31039 13.41344
"Uruguay" "858" 0.627155272749802 0.179996077372748 0.195062490616024 1997 "URY" "Emerging Industrial Economies" "EIE" 0.817 77.91 16.83564 8.92573
"Uzbekistan" "860" 0.317200178777115 0.476834634907926 0.205965186314959 439 "UZB" "Other Developing Economies" "DEVOT" 0.72 71.73 12.05882 11.8072
"Viet Nam" "704" 0.388720710872938 0.228763298222953 0.382515989072477 442 "VNM" "Emerging Industrial Economies" "EIE" 0.704 75.4 12.692323 8.32
