CITY	Precip	Humidity	JanTemp	JulyTemp	Over65	House	Educ	Sound	Density	NonWhite	WhiteCol	Poor	HC	NOX	SO2	Mortality
Washington, DC	41	52	37	78	6.2	3.25	12.3	89.5	5308	25.9	59.7	10.3	65	28	102	967.8
Indianapolis, IN	39	60	29	75	8.7	3.23	11.4	78.6	4412	15.6	46.6	13.2	13	7	33	968.66
Cincinnati, OH	40	57	34	77	9.2	3.21	10.2	77	4101	13	45.7	15.1	26	26	146	970.47
Greeensboro, NC	42	53	40	77	6.1	3.45	10.4	71.8	2269	22.7	41.4	19.5	8	3	5	971.12
Toledo, OH	31	59	26	73	9.3	3.22	10.7	81.3	3249	9.5	43.9	13.6	11	7	25	972.46
Atlanta, GA	47	56	45	79	6.5	3.41	11.1	77.5	3125	27.1	50.2	20.6	18	8	24	982.29
Cleveland, OH	35	60	28	71	8.8	3.29	11.1	86.3	3042	14.7	44.6	11.4	31	21	64	985.95
Louisville, KY	30	57	35	71	8.3	3.37	9.9	77.4	4474	13.1	42.6	17.7	38	37	193	989.27
Pittsburgh, PA	36	56	29	72	9.5	3.32	10.6	77.6	3437	8.1	45.5	13.8	45	59	263	991.29
New York, NY	42	58	33	77	9.7	3.03	10.7	83.5	7462	11.3	48.7	12.4	41	26	108	994.65
Albany, NY	35	57	23	72	11.1	3.14	11	78.8	4281	3.5	50.7	14.4	8	10	39	997.88
Buffalo, NY	36	61	24	70	9	3.31	10.5	83.2	6582	8.1	42.5	12.6	18	12	37	1001.9
Wilmington, DE	45	56	33	76	7.7	3.39	11.3	82.2	3152	12.1	47.3	10.9	14	11	42	1003.5
Memphis, TN	50	59	42	82	7.3	3.49	10.4	72.5	3497	36.7	43.3	26.4	15	18	34	1006.49
Philadelphia, PA	42	54	32	76	9.1	3.32	10.5	87.5	6092	17.5	45.3	13.2	29	32	161	1015.02
Chattanooga, TN	52	56	42	79	7.7	3.39	9.6	69.2	2302	22.2	41.3	24.2	18	8	27	1017.61
Chicago, IL	33	58	26	76	8.6	3.2	10.9	83.4	6122	16.3	44.9	10.7	88	63	278	1024.89
Richmond, VA	44	53	39	78	8.2	3.32	11	79.9	3768	28.6	49.5	17.5	12	9	48	1025.5
Birmingham, AL	53	54	45	80	7.7	3.45	10.2	66.8	3235	38.5	43.1	25.5	30	32	72	1030.38
Baltimore, MD	43	55	35	77	7.6	3.44	9.6	84.6	6441	24.4	43.7	14.3	43	38	206	1071.29
New Orleans, LA	54	62	54	81	7.4	3.36	9.7	72.8	3172	31.4	45.5	24.2	20	17	1	1113.06
