Quantity,Value
81.8,5387.68
368,9622.39
447.3,11852
4450.56,66109.8
589,8569.28
2035,12754.88
289,3345.92
0.12000002,54.27
0.45000002,4045.21
0.50000001,150.6
2055,13199.59
36,8101.42
301,4911.37
1431,17936.69
9.1,980.41
0.50000001,6352.3
0.26,625.74
43.8,2795.2
0.23000001,145.02
2.1,450
1.1,457.71
589,8569.28
2432.7,17000.91
401,6643.62
2.15,709.9
1.42,299.5
4.8,133.52
2948.4,16039.47
600.1,6611.84
10,297.36
0.78000002,511.52
774.4,7573.81
200,9400.59
0.27,4324.91
4.1,129.08
0.73,101.52
2716.2,15236.25
0.10000001,112.58
890,11835.2
4057.2,29585.83
36,8101.43
590,6611.84
1818.34,28498.18
3.8,923.87
878.95,11635.2
3430.8,25669.4
137.18,5016.63
0.7,342.92
186,9355.16
1.15,117.46
3198,16370.2
0.050000003,59.97
260,3899.42
364,6248.65
80.75,2818.39
2,723.18
300.34,38787.81
1.75,111.41
69.7,3731.95
20.1,381.93
53.2,1142.54
4188.6,22299.99
18.48,13717.26
5.1,3275.24
0.15000002,117.82
30.8,1044.02
4818,30552.41
183,7687.82
63.92,806.19
1748.77,32691.71
992,13762.5
135,2453.24
2,679.28
130.4,6401.42
0.50000001,106.1
879,11835.2
3591.9,26974.35
0.15000001,127.63
0.12000001,48.52
2857.5,18651.1
593.36,88944.78
601,6611.84
8.32,2879.4
216,3592.64
11.4,1049.14
590,6611.84
0.18,76.62
12.07,301.54
33.5,2323.49
289,3345.92
5.42,689.7
5367.6,31786.97
0.27,198.8
1727,23881.41
2.7,26.2
5.79,484.99
1.8,635.95
1.2,243.49
109.5,6288.15
9.55,1467.73
4608,21371.47
893,12519.28
498,8725.72
0.30000002,301.59
60.98,7987.5
1179,15101.12
3.4,1908.22
27,465.65
0.95000001,931.65
496.8,6520.02
226.8,7377.49
9,534.82
578,8569.28
8973,51512.73
0.070000017,10.6
171,11649.52
1.8,25239.3
0.10000002,34.94
17.3,1789.01
6958,32196.58
399,3345.92
78,3431.99
36,8101.86
2532.84,41955.62
58.8,2783.82
52.2,150.5
6.2,286.43
0.010000016,2.13
1.42,169.39
3955.5,21559.42
83.4,6660.89
2303.44,18993.6
198,6778.06
506,8490.2
0.64,60.59
890,9877.76
0.50000001,227.59
0.050000007,21.97
3.4,421.84
34.2,12778
79.8,8660.79
3.8,333.99
336.48,5761.8
2.37,133.19
10.5,626
0.050000024,126.06
6221.7,32954.66
1,89.55
3511.8,20801.35
0.28,152.2
1.1,652.51
0.30000001,322.09
890,11835.2
1779.05,23911.42
6.5,927.11
14.25,856.99
1.2,4616.18
313.25,40616.23
289,3345.92
9,3724.8
1589.4,11190.96
2,1082.95
0.1,135.58
0.010000007,2.93
1869,13584.99
672.96,11598.6
1.3,245.81
2475.9,17057.49
453,7366.97
879,11835.2
6.87,4019.5
446,7011.42
1.2,42.61
41.8,1017.99
289,3345.92
0.94,533.79
41.8,464.19
3.2,2150.3
0.28000001,437.19
268,4092.28
192,7858.49
10.5,611.58
180,7787.73
0.1,231.18
9022,41027.07
4669.5,28524.13
0.25,937.3
3.99,243.99
2537,12806.41
5.81,4207.33
0.43000001,196.18
890,9877.76
130.4,6401.73
2476.92,43589.51
69.7,4647.71
7.1,1083.55
13,8732.3
2.75,925.31
4.8939824e-09,1.36
589,8569.28
5853.6,42574.67
87,1041.35
146,1718.37
0.70000002,522.36
798,6912.8
1.23,134.59
138,19503.18
673.2,5301.8
300,3345.92
192,3488.51
0.030000004,16.78
37.05,420.79
1060,11724.37
1,150.3
2.73,212.76
60,5526.14
3.9,206.99
4.42,652.14
409.44,4020.2
172.9,1853.6
186,9170.69
913.5,6478.16
3.6,275.75
372,6242.31
0.50000001,1009.96
35.26,2189.7
0.72,291.94
107.35,3448.99
1.13,377.35
45.55,9570.55
3343.5,23448.45
372,3345.92
2212.85,37935.98
27.55,769.44
18.5,5863.74
0.38,1574.42
31.1,429.05
0.45000001,1372.89
8148,42784.61
0.60000001,487.12
0.30000001,5717.3
3.8,333.99
960,12669
470.4,6565.88
3.12,641.6
0.5,47.66
3.8,333.99
1680,10648.9
1202,13143.68
3.3,180.22
0.54000001,1142.33
122.55,6531.39
44.65,2794.79
28.3,3185.88
233,3296.56
590,6611.84
5008,32865.56
0.070000015,3.33
1119,15747.5
13.9,161.71
40.2,2415
1830,10675.46
186,23197.2
2.7,397.75
578,8569.28
1,89.11
2.6,16979.3
0.020000014,75.71
1695.01,31292
0.64000002,871.16
0.95000001,108.05
0.19,14.45
5988.6,32408.97
0.8,109.35
0.6,70.85
1869,13584.99
148.6,3877.2
504.85,77390.2
829.8,4340.56
2,1803.84
46.1,1821.63
158,2834.21
180.78,3573.56
790.31,15855.62
595.1,5422.72
19.47,211.99
2.6,41.27
15,445.67
2941.2,18416
0.020000003,31.23
37.2,4626.71
0.010000015,17.84
42.75,1128.99
2499.3,17412.72
2976.43,46318.59
39.35,632.12
221,4035.2
30.4,3520.47
330.18,28877.15
1460.7,8025
8.55,839.99
2586,14066.49
0.23000001,44.89
7.68,159.81
776.25,7224.56
0.2,271.65
3.03,647.42
2.09,317.57
297.93,5133.6
184.84,2352.29
8345,39536.62
5.5,296.09
1.5,191.28
3,83.13
1.5,191.28
18.52,3168.49
1.41,282.77
36,8101.46
1,287.56
2835,19290.97
0.21000001,42
5.7,152.2
2.45,292.86
8.69,891.87
130.66,18464.81
19.3,848.92
5796,21255
1.23,363.46
3.4,39085.3
684.9,13295.83
37.7,408.66
483.5,7019.43
0.95,204.99
5.31,266.73
2076.3,10969.6
24,2884.13
3.9,135.2
73.8,3712.05
0.70000001,58.85
131.4,39340.8
1048.32,12078.6
2922.3,18201.69
1.09,42.94
2899.9,37856.1
10.5,742.04
1.2,483.3
2580.3,18563.39
671.8,9778.34
2175.47,31191.15
0.57,112.95
130.4,6401.34
1524,9855.02
1.23,203.18
0.40000001,6352.3
16,1158.5
1.7,127.25
193,9560.55
813.66,4479.42
1869,13602.09
2.58,523.38
8.55,351.99
3270,17072.5
192,7858.49
990,5192.95
2.15,163.53
149.6,1711.97
2.6,1102.4
0.16,27.62
26.6,955.98
2.55,232.03
3553,20240.31
17.1,5980.39
0.2,132.11
5168,26139.04
5.75,3152.25
9.3158018e-09,2.13
150.6,2500.72
2229.79,25241.15
5.5,397.8
2,163.68
11.39,492.87
382,38628.92
61.5,3715.66
0.81000001,72.7
647.04,3533
48.1,3057.69
130.4,6401.97
5230,28437.5
135,493.94
537.91,84928.79
2036,11376.18
5.7,1784.27
0.4,28.85
8,495
11.6,245.36
398.4,5436.6
0.25000001,36.11
3968,19488.79
19.5,1416.06
0.45000001,2855.21
2.31,616.24
1.8,227.6
1.2,179.49
0.48000001,300.99
4495,25543.96
0.020000009,32.04
884,8706.98
78.9,878.13
14.25,817.19
0.56000001,24.63
759.6,9645
0.30000002,25.12
5888.7,41157.09
1.4,177.11
0.16000001,30.99
12.3,197.97
3.5,184.49
3060,18384.16
1631.94,32744.32
8.3,113.49
91.8,12778
10.5,193.53
6435,37816.74
2,283.54
199.55,3962.72
12.3,197.97
354.5,4130.05
8.55,426.39
0.64000001,59.92
3873.6,21042.03
240.58,27697.68
15,1608.15
0.94,49.25
125.11,15219.67
0.6,225
0.12000001,43.42
35.7,191.37
93.72,4633.96
162.5,2601.69
118.75,2454.39
81.7,673.98
1869,13624.77
336.48,5761.8
3.8,988.66
0.76,349.22
6749.1,33063.96
0.26,68.89
11.4,861.19
5.5,769.2
33.55,4351.62
2487.6,12857.43
1.2,450.55
51.3,12778
16,885.28
14.25,673.92
0.16000002,88.54
1337,8223.09
4.5,4134.14
228.7,3490.56
0.27,3219.17
194,9144.84
470.4,6545.88
6.15,1946.46
2,203.25
0.88000001,235.12
120.65,4106.79
0.47,279.99
2.19,1215.17
0.36000002,208.1
0.09000001,56.74
2.7,143.32
1596,13860.6
3497,22461.18
0.030000013,35.14
192,3922.21
2844,18486.07
36,8101.62
0.3,157.78
0.11000001,81.58
0.54000002,14.02
1253.7,6332.95
2797.2,21481.15
25.7,297.66
328.2,4987.67
103.1,1453.84
2.13,915.3
395.79,3909.93
4.75,744.99
1.9,421.99
1.42,127.99
3.4,59.49
1573.2,8541.39
226.8,7379.83
93.15,9137
578.5,8569.28
57.54,9531.7
170.28,21052.07
0.17,6.42
890,11835.2
700,9217.5
1460.7,8062.4
0.95000002,75.99
3.33,621.76
1.4,128
148.61,3897.1
0.91000001,121.79
52.25,1538.67
300,3345.92
4073.4,23178.04
233,56.68
8.5,114.36
0.38,96.15
0.72000001,389.17
0.1,79.17
0.23,185.22
0.95000002,82.99
716,11267.67
418.5,1703.06
21.8,2140.48
328,3780.36
19.11,1115.41
326.52,6024.54
179.2,1928.64
78.72,3729.58
62.2,795.44
202.1,2765.81
0.32,259.56
1987,11720.5
60.16,7840.87
300,3345.92
0.12,259
0.60000001,197.65
0.56,55.31
5.91,889.76
0.16000001,52.35
345,8819.96
2788,12684.49
3.17,1053.26
300,3345.92
13.5,110.89
130.4,6400.54
578,8569.28
400,844.56
0.31,48.32
7.1,927.55
8.23,586.12
2952,20583.12
125.4,17721.29
432,5522.8
747,11418.19
3.1,185.9
0.10000001,97.36
0.32000002,49.85
5.13,4329.77
0.48,3422.67
4928,24680.91
890,9877.76
0.50000001,291.5
3109.97,50716.31
8.7,924.47
6.3,680.51
2.28,472.7
2.6,1064.7
4274.1,26957.65
0.56000001,6
285,6392.63
242.5,3092.67
0.30000001,94.44
47.4,1736.6
0.10000002,64.09
1048.32,12140.22
336.48,5814.79
2.7,67.71
3033,21245.38
300,3345.92
0.33000001,383.6
18.72,634.29
289,5303.36
2,16.08
6.2,298.06
300,3965
5383.8,39518.18
0.57000002,115.7
0.040000005,20.81
0.50000001,787.21
1.52,1708.18
3289.5,18892.48
765.16,97311.85
589,8569.28
5,475
0.19,42.15
8.5,925.4
7.3,152.75
6,347.89
95,1726.99
1.13,529.69
300,3345.92
5872,31168.52
48.29,1215.5
1.32,477.65
2,250
5,549.75
2955,14492.38
447.3,11868.14
0.64000001,435.15
879,11835.2
5.64,263.72
8.23,46.8
4.51,25.64
52.6,2801.61
30.4,1318.29
759.6,9670
4030,22591.35
589,8569.28
1.3,244.6
11.68,10010.56
5658,28770.6
1168,15101.12
115.42,15081.37
0.46000001,57.72
2297.99,35167.41
33.9,1344.94
0.050000004,8.23
589,8569.28
2215.8,11964.64
0.30000001,124.9
2.85,658.74
3563.1,21933.07
0.15000001,65.52
8.85,691.3
2.5,250
1869,13644.69
1652.21,9154.05
147.6,2052.47
0.56000001,126.46
44.65,2285.39
0.050000025,267.09
22.8,1547.59
2114.1,13166.81
24.2,380.71
28.3,401.93
14.3,274.59
0.2,16.4
0.18,44.25
62.22,7976.71
8.4,2718.76
13.4,459.27
211.2,8628.12
0.070000011,3146.63
2.38,1532.99
1014.3,2631.01
0.90000001,93.68
2808,14717.97
300.4,3345.92
447.3,11879.24
322.8,4522.95
12.88,872.77
1200,1296.97
67.2,4415.85
271.4,4263.43
155.7,2191.41
18.7,5804.4
332.27,5728.84
52.6,2943
16.62,753.19
83.4,6660.83
1.3,158.11
4303.8,26307.47
0.93000001,210.76
78,4664.75
0.25000001,2512.78
116.5,1346.58
1.3,55.77
2417.4,14914.57
57.65,10684.23
142.1,2483.16
20.7,307.95
415.3,5605.15
22.3,14450.05
3.7,267.56
79.9,5212.4
2.7,91.54
604.2,12938.91
0.40000001,1692.26
11.6,1081.98
1102.92,12636.6
184.8,2408.22
9.03,223.99
130.4,6401.34
0.95,120.91
0.84,119.31
1.05,582.27
0.37000001,84.31
1919.24,25716.84
0.64000002,889
31,615.81
3.8,6244.1
1.74,240.81
0.12,29.87
1,50.82
1.1,429.75
812,9241.25
0.19,42.15
108,1257.36
174.3,3245.04
287,4209.64
0.30000001,22.57
8.55,981.99
0.38000001,77.99
0.71000001,63.56
202,9261.27
2662,14836.28
64.94,7379.29
10.45,404.99
2237.1,29888.1
252.36,4332.6
658,8674.58
2203.2,16758.12
0.55,123.65
0.07000001,51.7
67.3,812.11
281.58,10300.23
5436,32080.35
300,3341.5
0.19000001,42.15
2223.08,37802.57
299.5,5254.76
50.5,3711.33
69.55,8894.8
0.050000012,93.32
503.19,77072.34
5799.6,33310.04
0.8,66.33
600.6,6609.12
7.31,495.56
0.76,121.99
7.6,567.59
863.7,9935.01
554.47,4034.35
4387.5,25133.13
18.6,374.4
1.3,240.03
0.95000003,118.19
62.22,7976.14
578.8,6611.84
2.4,123.13
0.63000001,781.25
370.1,5363.19
11.3,926.71
1.2,449.3
0.63,8635.85
1460.7,8074.53
1.9,93.59
1,523.75
6.9,85.57
60.16,7841.65
8522.1,43485.41
85,314.98
289.4,3345.92
3.2,1882.78
1.8,219.21
0.13,34.38
1849.5,12950.92
462.8,6280.8
0.19000001,42.15
938.04,13107.32
45.3,567.98
15.7,265.26
10.5,266.97
2,276.11
1.62,560.51
6.65,1711.01
3.8,831.59
3617,23699.14
0.99000001,85.01
1094,10097.6
0.74000001,129.87
470.4,6595.12
4764,27957.2
590,6611.84
0.43,82.37
0.82000001,559.53
40.8,477.57
41.9,482.04
0.18000001,88.62
75.6,15544.3
7.6,797.99
119.7,4106.79
2.82,142.19
792.9,1982.71
0.19000001,35.3
25.2,7597.5
1195.56,27822.47
447.3,11865.37
122.02,6852.79
8353,45441.62
590,6611.84
13.89,13515
20,1625.8
36,8101.01
1557,9632.87
0.5,51.85
300,3345.92
0.19000001,35.3
74.7,4784.88
29.5,509.6
65,4320.55
144.1,2476.1
204,2298.26
51.68,606.24
5.4,221.05
8.07,5036.14
1,398.09
17.3,466.13
2403,13994.35
300,3345.92
210.75,2634.52
0.42000001,92.92
1.3,322.81
336.48,5786.8
179.88,4694.34
1314.53,9514.02
7.6,444.99
2707.2,16866.87
226.8,7377.92
300,3345.92
3.71,857.79
0.52,202.33
22.75,985.18
289,3345.92
13.2,610.19
17.9,3129.98
19.7,346.39
63.24,733.43
268.5,2926.72
7,2786.47
2.5,281.81
10.2,3878.06
430.86,5468.4
1048.32,12078.6
1880.1,9254.55
336,3857.24
1491.6,19252.63
0.66,86.65
2511.9,12323.78
2.4,299.13
601,6611.84
24.5,771.57
0.38,72.96
3309.99,48991.74
6.3,924.11
324.1,5815.59
177.59,3505.48
13.13,1063.64
61.24,8020.23
4122,20220.83
590,6611.84
3.55,1918.61
0.23000001,189.29
0.19000001,35.3
0.50000001,58.47
202,9189.38
409.44,4020.2
147,2825
0.48000002,190.91
138,19504.64
3973,21325.96
11.65,3755.69
408,4634.6
0.78,245.9
0.010000004,9.4
0.20000002,27
1.65,2823.77
9.55,1467.69
14.72,840.79
1.15,284.01
2,369.65
15,931.96
80,4008.65
6.93,404.95
518.7,4454.07
0.45000001,719.92
10320.3,56677.54
601,6611.84
1.4,448.21
1.95,313.11
2.11,117.91
10.8,3785.81
567.5,8224.29
19,116.98
2852,12548.7
879,9877.76
0.19,35.3
1.3,90.2
40.8,1584.34
2305.44,37018.22
46.7,2791.56
2.1,2465.77
1.4,1117.6
261,16973.8
0.46000002,58.16
14.42,1904.19
3581.1,13336
0.010000008,52.64
0.3,55
0.47000001,239.53
684,5935.1
261.14,6931.34
4043.7,21447.94
24,2884.3
300,3345.92
1.45,326.41
74.3,1036.96
209.7,3808.44
0.22,115.56
2.3,86.54
2.46,123.12
1.2,150
0.47000001,124.24
437,5472.84
15,924.36
186.9,1332.1
319.6,4197.69
336.48,5716.8
3.06,225.97
0.17000001,69.21
96.4,1123.2
970,9897.6
14.3,764.68
1.43,187.19
2364.3,19127.12
100.94,15482.89
487.3,6427.72
2166.64,27211.94
385.7,6140.09
3.1,153.27
0.090000001,65.31
0.49000001,146.95
43,757.62
195.97,6917.37
0.36000001,1013.61
1994.4,7406.63
0.080000008,20.32
0.6,43.49
1518.72,18664.48
328.74,4188.82
1.43,381.99
0.95000002,100.99
4.27,169.19
211.96,27738.42
2.4,37.61
5142,22169.77
3.72,706.02
166,1853.81
10.1,227.63
560.7,4056.3
7579,37227.82
1121.4,8127.6
759.6,9675
30,873.63
1460.7,8063.03
0.16000001,46.48
89.1,24779.7
39.5,6837.5
1.3,126.92
93.02,11245.03
10610,62416.8
1008.51,13630.7
78.6,1283.99
382.3,4449.37
230.8,2698.21
45.8,1057.49
19.2,327.62
0.36000001,121.37
2.1,178.83
130.4,6400.78
5900,34249.66
1.954219e-08,0.10000001
0.80000002,108.33
1.6353642e-08,2.24
1869,13596
2191.86,50967
4509,29042.09
97.9,1151.77
60,1025.08
0.27000001,3961.19
8.73,494.5
45.6,931.99
10.5,426.43
0.24,129.1
116.05,1588.96
241.55,1989.64
452,5366.01
130,1385
1.24,161.74
10.34,161.21
496.38,75768.05
5322.6,33705.59
1254.6,6131.71
166.2,18362.58
4.4,345.99
938.04,12273.92
402.9,69906.69
63.72,2787.19
24.8,537.15
117.4,7699.56
5426,28512.17
1267.2,4006.39
582.7,6772.61
4271,23039.18
2.38,398.59
2.85,2059.49
204,2358.06
0.19000001,1055.9
129.95,17529.8
4.4,1128.43
0.18,394
96,1098.35
0.97,372.73
1558,8104.79
0.040000002,63.32
1048.32,12078.6
1.9,208.85
24,2883.99
1,390
0.87000001,44.58
15.64,1789.67
1.5,581.56
2.1,178.65
64.8,6643.52
86.45,5652.99
1595.7,9267.26
447.1,5573.29
979,11826.07
1.6,59.79
1.4,270.35
186,9184.94
676.6,9174.26
745.92,9837
186.16,4880.58
0.45000001,446.4
13.3,2185.19
15.28,1230.54
123.72,16033.36
49,590.67
261.12,3003.28
62.6,4335.09
13,1305.48
470.4,6613.49
569.7,7245
7021.8,36535.93
0.53,33.9
3645,22526.62
7.2,345.99
36,8101.72
0.5,316.97
63.72,2786.66
0.35,136.55
64.94,7379.44
0.13000001,28.91
4848,27104.49
1.5,476.37
0.070000015,34.13
438.8,6304.83
113.7,1945.75
84.84,1298.37
0.30000002,476.45
189.9,2385
1.18,206.85
2871,16911.43
0.58000001,37.83
0.32000001,117.48
13.68,13185
498.43,8880.51
4603,23576.49
1.54,617.25
15,925.7
336.48,5796.56
22.32,886.39
1374.68,7548
3265,20027.18
1673.9,17645.35
60.16,7840.99
1.5,186.08
0.33,45.63
128.25,4651.9
800.8,128193.92
189.2,2658.86
168.2,3245.54
57.6,2795.82
0.20000002,390.15
8.6,1209.02
1,99.03
2316.3,25503
3510.9,23193.58
5.7,133.29
267.96,24254.9
293.7,3893.77
1.6,1117.57
41.8,463.21
0.060000003,384.95
9.55,1467.66
0.38,56.78
15,924.1
640,8451
1048.32,12078.6
0.38000001,740.23
2.8,2710
0.11000001,75.57
15.8,3756.96
103.7,6630.83
0.63000001,216.99
678.74,6139.16
4.75,167.29
0.58,37.81
2379,17768.19
0.30000001,47.85
97,1493.92
188.6,3619.62
1.2,4176.5
38.7,12650.5
5032,31021.45
822.9,10465.22
0.96,407.36
22.8,1356.19
357.2,13778.47
16.62,727.21
0.30000001,4942.7
0.66,459.82
3257.9,43997.48
6.6,924.41
0.38,312.82
798,6954.49
11.4,397.19
23,3971.8
6102,32290.68
0.040000015,30.82
512,3824.3
1,385.64
0.53000001,600.4
404.53,55446.21
196,16014.21
0.57,160.64
0.40000001,617.22
0.57000001,241.46
603.9,3806.78
97.58,3568.64
0.080000003,19.79
558.2,7980.59
192.3,3755.53
1.27,101.52
2868.3,17788.05
0.10000001,136.99
22.32,886.39
38,447.99
5.72,746.87
43.7,1446.19
20.42,1280.99
6.01,677.65
492.57,77581.39
16.52,705.05
858.75,7038.58
63.8,3708.91
202.35,1637.47
0.070000003,120.64
6412.5,39686.29
35,1768.92
18,3252.75
1863,9112.25
9.3,264.53
626.4,3105.82
456.9,6716.85
181.4,3492.58
222.2,3161.4
336.48,5781.8
1048.32,12126.65
1381.28,10061.69
0.95000002,161.99
0.95000001,144.99
110.06,15554.66
135,2212.53
3214,11119
0.22000001,580.77
460.06,13042.41
0.31,73.49
0.44000001,103.4
15.2,1102.99
10.93,652.01
42.75,220.15
11.39,525.18
0.99,189.29
7.7,925.13
447.3,11871.3
1460.7,8065
2.37,483.21
8412.3,49926.78
0.90000001,1630.54
0.040000017,34.05
0.48000001,64.43
2312.1,17008.64
62.92,10744.91
1.5,215.18
1156.9,14364.87
438.2,7084.63
33.8,7168.66
1685.7,13940.33
83.4,6660.68
148.61,3884.53
73,3611.5
0.030000007,16.42
0.4,60.45
230.18,14290.27
603.9,3792.83
597.78,13866
618.3,10399.12
35.15,450.59
10.3,987.7
25.4,1279.99
32.9,2993.38
78.72,3707.35
2.4,85.01
1195.56,27732
747.6,5423.4
189.9,2385
148.61,3872.2
124.4,1743.21
0.50000001,33.75
83.26,10840.33
10900.8,54822.89
276,2934.25
8.45,424.01
0.5,64.6
36,8101.45
9625.5,54321.88
1446.46,14701.66
0.91000003,139.34
3.65,932.7
0.14,53.22
13.43,6829.71
46.8,6721.2
270,4398.82
7679.7,42419.97
0.3,157.87
1,11246.5
0.36000001,1012.34
11.6,336.01
0.19000001,425.14
350.5,4082.36
224.1,3545.44
617.3,8567.64
0.2,297.39
1594.08,37123.71
300.82,2195.41
480,6327.4
336.48,5795.94
2.94,499.99
10.92,805.13
4.08,524.59
1.14,137.49
1.71,316.74
2.19,274.79
4094,20098.03
379.8,4825.98
145.67,18780.86
2.85,1864.95
24.92,792.27
14.25,544.79
159.3,16978.48
5.2,496.26
15.64,1789.53
732.6,5509.66
1121.4,8145.18
395.75,10502.25
379.8,4854.75
336.48,5795.94
6927,36551.64
1,319.01
0.060000001,30.74
409.44,4046.67
1.68,375.23
2037,6618.85
94.9,2227.76
673.51,6105.7
44.7,2796.85
115.2,1221.18
0.81000001,89.64
116.1,28564.5
0.76,1469.06
0.18000001,194.36
2.35,3308.37
494.69,75447.63
2018.7,16636.15
0.19000002,42.66
0.060000004,3.18
27.79,1990.69
257,4621.24
10.4,280.72
481.2,6466.06
404.5,6087.02
1.67,106.13
200,9106.55
227.88,2895.59
460.51,12172.73
0.54,387.14
699,5171.3
1.8,146.49
84.2,5751.8
95.95,4464.23
1770,20205.78
57.8,1449.3
874.7,9889.9
1.1,233.93
1054.8,8785.96
0.43000001,154.14
627.2,8766.05
0.18,375.17
127.78,15433.77
0.50000001,94.67
